time,open,high,low,close,vwap,volume,trades
2026-04-08 03:00:00+00:00,71338.0,71474.3,71277.1,71288.7,71346.0,51.95194207,1564
2026-04-08 04:00:00+00:00,71288.7,71664.9,71288.6,71570.3,71491.5,53.13687039,1758
2026-04-08 05:00:00+00:00,71569.0,71808.7,71549.2,71706.9,71686.8,41.27365622,1495
2026-04-08 06:00:00+00:00,71706.9,71919.0,71588.0,71713.3,71772.2,37.05487769,1689
2026-04-08 07:00:00+00:00,71713.4,71890.0,71575.6,71620.0,71685.7,55.51535277,1663
2026-04-08 08:00:00+00:00,71620.0,71821.3,71620.0,71785.0,71738.3,28.3953135,1567
2026-04-08 09:00:00+00:00,71785.0,71990.4,71591.7,71674.1,71817.6,19.59668585,1529
2026-04-08 10:00:00+00:00,71674.2,71770.0,71473.5,71491.9,71583.5,11.41964726,1439
2026-04-08 11:00:00+00:00,71491.9,71710.0,71425.0,71670.8,71568.4,38.08705843,1721
2026-04-08 12:00:00+00:00,71670.8,72160.0,71590.0,72074.6,71897.9,88.21314887,2510
2026-04-08 13:00:00+00:00,72074.6,72850.0,71496.9,71610.2,72236.5,318.26954588,6717
2026-04-08 14:00:00+00:00,71610.3,71739.2,70703.0,70884.9,71216.5,149.90626583,5690
2026-04-08 15:00:00+00:00,70885.0,71350.0,70840.0,71294.5,71133.8,77.58103765,3404
2026-04-08 16:00:00+00:00,71294.5,71688.2,71244.4,71611.4,71446.2,87.89448991,2976
2026-04-08 17:00:00+00:00,71611.4,71963.0,71508.0,71899.7,71751.6,77.20022228,3182
2026-04-08 18:00:00+00:00,71899.7,71899.7,71082.7,71106.5,71435.3,141.25967784,3802
2026-04-08 19:00:00+00:00,71104.4,71384.2,71014.1,71327.1,71239.3,75.95866067,2724
2026-04-08 20:00:00+00:00,71322.4,71489.9,71282.3,71382.2,71385.0,35.03109235,1602
2026-04-08 21:00:00+00:00,71382.4,71755.0,71348.0,71550.7,71567.9,47.74112463,2141
2026-04-08 22:00:00+00:00,71550.7,71571.4,71088.6,71088.7,71292.2,24.91892819,1696
2026-04-08 23:00:00+00:00,71088.7,71199.5,70908.1,71109.0,71011.3,90.40264475,1878
2026-04-09 00:00:00+00:00,71090.2,71145.8,70643.6,70826.8,70801.9,34.55827198,2149
2026-04-09 01:00:00+00:00,70826.8,70943.8,70465.1,70917.1,70654.8,41.30992276,2116
2026-04-09 02:00:00+00:00,70917.1,71182.5,70817.3,71038.9,71054.9,73.75256044,1949
2026-04-09 03:00:00+00:00,71041.7,71105.2,70857.1,70994.3,70974.6,23.79079748,1150
2026-04-09 04:00:00+00:00,70994.4,71010.7,70756.7,70793.5,70852.3,14.55678126,1110
2026-04-09 05:00:00+00:00,70793.6,71083.7,70714.4,70976.3,70939.3,39.50953822,1259
2026-04-09 06:00:00+00:00,70976.3,71076.0,70842.0,71037.3,70911.5,22.21678758,1054
2026-04-09 07:00:00+00:00,71037.4,71116.3,70964.7,70988.4,71025.8,14.02445318,1193
2026-04-09 08:00:00+00:00,70988.7,71385.3,70896.2,71263.7,71193.5,73.55917746,1825
2026-04-09 09:00:00+00:00,71263.7,71567.7,71116.6,71527.8,71405.1,36.83886631,1630
2026-04-09 10:00:00+00:00,71543.3,71543.3,71297.7,71299.6,71396.8,16.59588593,1382
2026-04-09 11:00:00+00:00,71299.6,71343.0,71071.4,71154.3,71176.1,53.69487559,1483
2026-04-09 12:00:00+00:00,71154.3,71328.2,71045.9,71271.6,71189.0,22.28540536,1840
2026-04-09 13:00:00+00:00,71271.7,71350.0,70638.5,70806.7,70941.2,33.15351279,3023
2026-04-09 14:00:00+00:00,70806.7,71242.3,70536.3,71129.4,70927.7,65.4453832,3350
2026-04-09 15:00:00+00:00,71131.9,72356.6,70948.9,72122.3,71910.2,202.24881641,5241
2026-04-09 16:00:00+00:00,72141.7,72407.6,71743.2,72078.8,72024.3,184.37227241,4268
2026-04-09 17:00:00+00:00,72082.6,72544.9,72079.8,72352.0,72425.8,112.87666733,3857
2026-04-09 18:00:00+00:00,72352.0,72370.4,71744.0,71901.2,71903.9,62.13767986,3052
2026-04-09 19:00:00+00:00,71901.2,72295.4,71762.0,72126.8,72031.6,67.65232695,3040
2026-04-09 20:00:00+00:00,72112.7,72462.7,72000.5,72434.1,72302.8,95.83965987,2319
2026-04-09 21:00:00+00:00,72434.1,72709.0,72162.9,72250.0,72385.7,92.84106975,3128
2026-04-09 22:00:00+00:00,72250.1,73130.5,71967.3,71967.3,72666.3,169.48267842,4571
2026-04-09 23:00:00+00:00,71967.3,72022.4,71588.6,71803.5,71789.9,70.4904599,2013
2026-04-10 00:00:00+00:00,71803.5,72024.5,71592.4,71960.3,71845.4,48.10904858,2402
2026-04-10 01:00:00+00:00,71960.4,72387.5,71688.8,72160.6,72109.3,50.62179582,2292
2026-04-10 02:00:00+00:00,72160.7,72279.7,71938.0,71952.0,72135.5,15.8388092,1481
2026-04-10 03:00:00+00:00,71952.0,72011.4,71824.4,71868.4,71922.0,20.47984162,1349
2026-04-10 04:00:00+00:00,71868.4,72210.1,71840.0,72112.0,71989.9,13.54962282,1339
2026-04-10 05:00:00+00:00,72121.6,72266.9,72019.5,72131.8,72165.0,21.57692257,1447
2026-04-10 06:00:00+00:00,72131.8,72174.8,71809.1,71826.0,71939.3,14.26095859,1235
2026-04-10 07:00:00+00:00,71826.0,71844.5,71429.8,71483.9,71648.0,23.25737407,1628
2026-04-10 08:00:00+00:00,71483.9,71750.0,71446.0,71611.4,71568.3,219.75884638,1622
2026-04-10 09:00:00+00:00,71611.4,71869.1,71596.0,71797.1,71727.5,51.53361462,1309
2026-04-10 10:00:00+00:00,71797.1,71924.1,71723.6,71924.0,71783.1,43.02783577,1370
2026-04-10 11:00:00+00:00,71924.1,72270.2,71924.0,72135.9,72175.8,123.71620547,2138
2026-04-10 12:00:00+00:00,72135.9,72460.0,72039.9,72268.5,72253.4,62.90467779,2999
2026-04-10 13:00:00+00:00,72269.8,72429.7,71925.4,72334.0,72139.6,147.70330296,2318
2026-04-10 14:00:00+00:00,72333.5,73163.9,72291.1,72953.4,72837.4,281.61261522,5756
2026-04-10 15:00:00+00:00,72947.4,73320.0,72381.7,72441.3,72871.6,154.41961104,4069
2026-04-10 16:00:00+00:00,72456.4,73069.1,72424.1,73012.0,72773.1,74.32153383,2963
2026-04-10 17:00:00+00:00,73012.0,73148.1,72829.2,73126.7,72941.5,75.45179812,2453
2026-04-10 18:00:00+00:00,73126.7,73167.5,72924.9,73138.5,73070.6,62.8259676,2180
2026-04-10 19:00:00+00:00,73138.6,73278.8,72926.6,73268.1,73116.3,82.79145608,2765
2026-04-10 20:00:00+00:00,73268.1,73455.0,73090.5,73393.1,73278.5,163.93070126,3349
2026-04-10 21:00:00+00:00,73393.1,73393.1,72990.2,73207.1,73152.2,42.30303337,1999
2026-04-10 22:00:00+00:00,73207.1,73276.1,72781.5,72904.0,72954.7,52.65946634,1825
2026-04-10 23:00:00+00:00,72904.0,72974.1,72825.3,72973.8,72873.5,26.85469306,1215
2026-04-11 00:00:00+00:00,72973.8,72973.8,72827.7,72864.6,72883.1,21.89244012,1386
2026-04-11 01:00:00+00:00,72864.3,73025.3,72712.7,72962.0,72844.4,19.79436352,1255
2026-04-11 02:00:00+00:00,72965.7,73132.1,72950.7,73012.9,73046.1,31.99014431,1333
2026-04-11 03:00:00+00:00,73013.0,73100.0,72869.4,72896.1,73020.1,7.93917964,1045
2026-04-11 04:00:00+00:00,72896.2,72984.6,72734.2,72837.3,72814.3,72.58332852,1501
2026-04-11 05:00:00+00:00,72837.3,72871.8,72726.4,72758.5,72780.1,12.1020682,995
2026-04-11 06:00:00+00:00,72758.5,72808.2,72645.8,72806.5,72722.6,30.60782055,1060
2026-04-11 07:00:00+00:00,72806.5,72866.9,72698.5,72761.5,72787.6,13.19701407,896
2026-04-11 08:00:00+00:00,72774.7,72835.7,72688.2,72722.1,72746.9,17.18736846,821
2026-04-11 09:00:00+00:00,72722.1,72951.3,72664.1,72944.1,72793.1,31.68170286,1384
2026-04-11 10:00:00+00:00,72944.2,72948.3,72817.0,72877.5,72906.3,19.11566135,1034
2026-04-11 11:00:00+00:00,72877.5,72945.3,72870.1,72932.9,72920.4,16.28008336,876
2026-04-11 12:00:00+00:00,72932.9,73011.3,72850.0,72973.4,72946.0,20.69083552,1553
2026-04-11 13:00:00+00:00,72973.4,72973.4,72578.8,72712.4,72699.8,175.62807544,2458
2026-04-11 14:00:00+00:00,72712.5,72805.7,72655.5,72757.4,72714.9,119.21768606,1765
2026-04-11 15:00:00+00:00,72750.1,72910.0,72706.9,72901.2,72826.8,14.36887746,1589
2026-04-11 16:00:00+00:00,72901.2,73238.7,72856.4,73068.1,73060.4,49.12377603,2144
2026-04-11 17:00:00+00:00,73068.1,73192.9,73000.0,73105.2,73110.1,16.41204035,1831
2026-04-11 18:00:00+00:00,73105.2,73750.0,73091.0,73549.3,73494.6,122.38404113,3221
2026-04-11 19:00:00+00:00,73555.0,73800.0,73494.3,73695.4,73686.1,62.40729389,2970
2026-04-11 20:00:00+00:00,73695.4,73715.0,73272.2,73343.5,73473.5,73.02263823,2464
2026-04-11 21:00:00+00:00,73343.5,73550.1,73209.0,73456.1,73406.8,49.31202346,1931
2026-04-11 22:00:00+00:00,73456.1,73596.2,73278.6,73406.4,73428.3,33.17877499,1577
